(30, 1)
(30, 2)
(25, 8)
(46, 9)
(47, 9)
(48, 9)
(49, 9)
(50, 9)
(51, 9)
(52, 9)
(39, 10)
(40, 10)
(41, 10)
(42, 10)
(43, 10)
(44, 10)
(45, 10)
(46, 10)
(53, 10)
(13, 11)
(13, 12)
(14, 12)
(15, 12)
(16, 12)
(16, 13)
(17, 13)
(18, 13)
(19, 13)
(19, 14)
(20, 14)
(21, 14)
(22, 14)
(23, 14)
(24, 14)
(51, 18)
(52, 18)
(53, 18)
(54, 18)
(55, 18)
(56, 18)
(57, 18)
(-9, 21)
(-8, 21)
(60, 21)
(61, 21)
(62, 21)
(63, 21)
(-7, 22)
(-6, 22)
(-5, 22)
(58, 22)
(59, 22)
(60, 22)
(-5, 23)
(-4, 23)
(57, 23)
(58, 23)
(-4, 24)
(-3, 24)
(-2, 24)
(-1, 24)
(0, 24)
(1, 24)
(2, 24)
(3, 24)
(4, 24)
(5, 24)
(6, 24)
(7, 24)
(8, 24)
(9, 24)
(10, 24)
(11, 24)
(12, 24)
(13, 24)
(14, 24)
(15, 24)
(16, 24)
(17, 24)
(18, 24)
(19, 24)
(20, 24)
(21, 24)
(22, 24)
(23, 24)
(24, 24)
(25, 24)
(26, 24)
(27, 24)
(28, 24)
(29, 24)
(30, 24)
(31, 24)
(32, 24)
(33, 24)
(34, 24)
(35, 24)
(36, 24)
(37, 24)
(38, 24)
(39, 24)
(40, 24)
(41, 24)
(42, 24)
(43, 24)
(44, 24)
(45, 24)
(46, 24)
(47, 24)
(48, 24)
(49, 24)
(50, 24)
(51, 24)
(52, 24)
(53, 24)
(54, 24)
(55, 24)
(56, 24)
(57, 24)
