(38, -14)
(36, -11)
(36, -10)
(21, -3)
(22, -3)
(3, -2)
(4, -2)
(5, -2)
(6, -2)
(7, -2)
(8, -2)
(9, -2)
(10, -2)
(11, -2)
(12, -2)
(13, -2)
(14, -2)
(15, -2)
(16, -2)
(17, -2)
(18, -2)
(19, -2)
(20, -2)
(21, -2)
(18, 3)
(19, 3)
(28, 3)
(29, 3)
(30, 3)
(31, 3)
(32, 3)
(33, 3)
(34, 3)
(35, 3)
(36, 3)
(37, 3)
(38, 3)
(39, 3)
(40, 3)
(41, 3)
(42, 3)
(-10, 4)
(-9, 4)
(-8, 4)
(-7, 4)
(-6, 4)
(-5, 4)
(-4, 4)
(-3, 4)
(-2, 4)
(-1, 4)
(0, 4)
(1, 4)
(2, 4)
(19, 4)
(20, 4)
(21, 4)
(22, 4)
(23, 4)
(24, 4)
(25, 4)
(26, 4)
(27, 4)
(28, 4)
(2, 5)
(3, 5)
(4, 5)
(4, 6)
(5, 6)
(5, 7)
(6, 8)
(7, 8)
(8, 8)
(-19, 9)
(-18, 9)
(-17, 9)
(-16, 9)
(-15, 9)
(-14, 9)
(-13, 9)
(-12, 9)
(-11, 9)
(-10, 9)
(-9, 9)
(-8, 9)
(-7, 9)
(-6, 9)
(-5, 9)
(-4, 9)
(-3, 9)
(-2, 9)
(-1, 9)
(0, 9)
(1, 9)
(8, 9)
(9, 9)
(10, 9)
(11, 9)
(12, 9)
(13, 9)
(14, 9)
(15, 9)
(16, 9)
(17, 9)
(18, 9)
(-21, 10)
(-20, 10)
(-19, 10)
(18, 10)
(19, 10)
(20, 10)
(21, 10)
(-22, 11)
(-21, 11)
(21, 11)
(-21, 12)
(-21, 13)
(-20, 13)
(-19, 13)
(-18, 13)
(-17, 13)
(-17, 14)
(-17, 15)
(-16, 15)
(-15, 15)
(-14, 15)
(-13, 15)
(-12, 15)
(-11, 16)
(-10, 16)
(-9, 16)
(-8, 16)
(-7, 16)
(-6, 16)
(-5, 16)
(-4, 16)
(-2, 16)
(0, 16)
(1, 16)
(2, 16)
(3, 16)
(4, 16)
(5, 16)
(6, 16)
(7, 16)
(8, 16)
(9, 16)
(10, 16)
(11, 16)
(12, 17)
(13, 17)
(14, 17)
(15, 17)
(16, 17)
(17, 18)
(18, 18)
(19, 18)
(19, 19)
(20, 19)
(0, 20)
(1, 20)
(2, 20)
(3, 20)
(5, 20)
(6, 20)
(8, 20)
(9, 20)
(10, 20)
(12, 20)
(13, 20)
(14, 20)
(15, 20)
(16, 20)
(17, 20)
(18, 20)
(19, 20)
(20, 20)
(21, 20)
(-22, 21)
(-21, 21)
(-20, 21)
(-19, 21)
(-18, 21)
(-17, 21)
(-16, 21)
(-15, 21)
(-14, 21)
(-13, 21)
(-12, 21)
(-11, 21)
(-10, 21)
(-9, 21)
(-8, 21)
(-7, 21)
(-6, 21)
(-5, 21)
(-4, 21)
(-3, 21)
(-2, 21)
