(39, -26)
(37, -23)
(6, -20)
(7, -20)
(29, -20)
(7, -19)
(8, -19)
(9, -19)
(10, -19)
(11, -19)
(12, -19)
(13, -19)
(14, -19)
(15, -19)
(16, -19)
(17, -19)
(19, -19)
(20, -19)
(21, -19)
(23, -19)
(24, -19)
(25, -19)
(26, -19)
(27, -19)
(28, -19)
(29, -19)
(-3, -17)
(-3, -16)
(-2, -15)
(-1, -15)
(-1, -14)
(0, -14)
(1, -14)
(2, -14)
(3, -14)
(4, -14)
(-6, -12)
(-5, -12)
(-5, -11)
(-4, -11)
(-3, -11)
(-2, -11)
(-1, -11)
(0, -11)
(0, -10)
(1, -10)
(2, -10)
(3, -10)
(8, -10)
(9, -10)
(10, -10)
(11, -10)
(12, -10)
(13, -10)
(14, -10)
(15, -10)
(16, -10)
(17, -10)
(18, -10)
(19, -10)
(20, -10)
(21, -10)
(22, -10)
(23, -10)
(24, -10)
(25, -10)
(26, -10)
(27, -10)
(28, -10)
(29, -10)
(30, -10)
(31, -10)
(32, -10)
(33, -10)
(34, -10)
(35, -10)
(36, -10)
(37, -10)
(38, -10)
(39, -10)
(3, -9)
(4, -9)
(5, -9)
(5, -8)
(6, -8)
(-18, -7)
(-17, -7)
(-16, -7)
(-15, -7)
(-14, -7)
(-13, -7)
(-12, -7)
(-11, -7)
(-10, -7)
(-9, -7)
(-8, -7)
(-7, -7)
(-6, -7)
(6, -7)
(7, -7)
(8, -7)
(29, -7)
(-22, -6)
(-21, -6)
(-20, -6)
(-19, -6)
(-18, -6)
(-17, -6)
(-16, -6)
(-15, -6)
(-14, -6)
(-13, -6)
(-12, -6)
(-11, -6)
(-10, -6)
(-8, -6)
(-6, -6)
(-5, -6)
(-4, -6)
(-3, -6)
(-2, -6)
(-1, -6)
(0, -6)
(1, -6)
(2, -6)
(3, -6)
(4, -6)
(5, -6)
(6, -6)
(7, -6)
(8, -6)
(9, -6)
(10, -6)
(11, -6)
(20, -6)
(21, -6)
(22, -6)
(29, -6)
(30, -6)
(11, -5)
(12, -5)
(13, -5)
(14, -5)
(15, -5)
(19, -5)
(20, -5)
(31, -5)
(32, -5)
(33, -5)
(34, -5)
(35, -5)
(36, -5)
(15, -4)
(16, -4)
(17, -4)
(18, -4)
(19, -4)
(36, -4)
(37, -4)
(38, -4)
(39, -4)
(39, -3)
(39, -2)
(40, -2)
(40, -1)
(41, -1)
(41, 0)
(42, 0)
(42, 1)
(43, 1)
(43, 2)
(44, 2)
(45, 2)
(47, 2)
(48, 2)
(49, 2)
(50, 2)
(51, 2)
(52, 2)
(45, 3)
(46, 3)
(47, 3)
