(22, -12)
(-7, -4)
(-6, -4)
(-5, -4)
(-8, -3)
(-7, -3)
(-8, -2)
(-8, -1)
(-7, -1)
(-6, -1)
(-3, -1)
(-2, -1)
(2, -1)
(3, -1)
(-7, 0)
(-6, 0)
(-5, 0)
(-4, 0)
(-3, 0)
(-2, 0)
(-1, 0)
(-6, 1)
(-5, 1)
(-3, 1)
(-1, 1)
(0, 1)
(2, 1)
(3, 1)
(-6, 2)
(-5, 2)
(-1, 2)
(0, 2)
(1, 2)
(2, 2)
(3, 2)
(4, 2)
(5, 2)
(6, 2)
(7, 2)
(8, 2)
(9, 2)
(-5, 3)
(-2, 3)
(4, 3)
(5, 3)
(13, 3)
(14, 3)
(15, 3)
(16, 3)
(17, 3)
(-5, 4)
(-2, 4)
(-1, 4)
(0, 4)
(1, 4)
(2, 4)
(-4, 5)
(-3, 5)
(-2, 5)
(-1, 5)
(2, 5)
(3, 5)
(4, 5)
(5, 5)
(6, 5)
(7, 5)
(8, 5)
(9, 5)
(10, 5)
(11, 5)
(-2, 6)
(4, 6)
(-2, 7)
(-1, 7)
(0, 7)
(1, 7)
(2, 7)
(4, 7)
(5, 7)
(6, 7)
(7, 7)
(8, 7)
(9, 7)
(14, 7)
(15, 7)
(16, 7)
(17, 7)
(18, 7)
(3, 8)
(4, 8)
(5, 8)
(6, 8)
(7, 8)
(8, 8)
(9, 8)
(10, 8)
(11, 8)
(12, 8)
(13, 8)
(14, 8)
(15, 8)
(16, 8)
(17, 8)
(18, 8)
(19, 8)
